step,physical_available,retrieval_available,behavioral_available,target_rank,occupancy,capacity,accepted_writes,rejected_writes,alert_score,benign_utility
0,True,True,True,1,5,16,0,0,0.09875,1.0
1,True,True,True,2,6,16,1,0,0.215,1.0
2,True,True,True,2,6,16,1,1,0.215,1.0
3,True,True,True,2,6,16,1,2,0.215,1.0
4,True,True,True,2,6,16,1,3,0.215,1.0
5,True,True,True,2,6,16,1,4,0.215,1.0
6,True,True,True,2,6,16,1,5,0.215,1.0
7,True,True,True,2,6,16,1,6,0.215,1.0
8,True,True,True,2,6,16,1,7,0.215,1.0
9,True,True,True,2,6,16,1,8,0.215,1.0
10,True,True,True,2,6,16,1,9,0.215,1.0
11,True,True,True,2,6,16,1,10,0.215,1.0
12,True,True,True,2,6,16,1,11,0.215,1.0
13,True,True,True,2,6,16,1,12,0.215,1.0
14,True,True,True,2,6,16,1,13,0.215,1.0
15,True,True,True,2,6,16,1,14,0.215,1.0
16,True,True,True,2,6,16,1,15,0.215,1.0
17,True,True,True,2,6,16,1,16,0.215,1.0
18,True,True,True,2,6,16,1,17,0.215,1.0
19,True,True,True,2,6,16,1,18,0.215,1.0
20,True,True,True,2,6,16,1,19,0.215,1.0
21,True,True,True,2,6,16,1,20,0.215,1.0
22,True,True,True,2,6,16,1,21,0.215,1.0
23,True,True,True,2,6,16,1,22,0.215,1.0
24,True,True,True,2,6,16,1,23,0.215,1.0
