step,physical_available,retrieval_available,behavioral_available,target_rank,occupancy,capacity,accepted_writes,rejected_writes,alert_score,benign_utility
0,True,True,True,1,5,16,0,0,0.09875,1.0
1,True,True,True,1,6,16,1,0,0.09875,1.0
2,True,True,True,1,7,16,2,0,0.09875,1.0
3,True,True,True,1,8,16,3,0,0.09875,1.0
4,True,True,True,1,9,16,4,0,0.09875,1.0
5,True,True,True,1,10,16,5,0,0.09875,1.0
6,True,True,True,1,11,16,6,0,0.09875,1.0
7,True,True,True,1,12,16,7,0,0.09875,1.0
8,True,True,True,1,13,16,8,0,0.09875,1.0
9,True,True,True,1,14,16,9,0,0.09875,1.0
10,True,True,True,1,15,16,10,0,0.09875,1.0
11,True,True,True,1,16,16,11,0,0.09875,1.0
12,False,False,False,,16,16,12,0,0.99,1.0
13,False,False,False,,16,16,13,0,0.99,0.0
14,False,False,False,,16,16,14,0,0.99,0.0
15,False,False,False,,16,16,15,0,0.99,0.0
16,False,False,False,,16,16,16,0,0.99,0.0
17,False,False,False,,16,16,17,0,0.99,0.0
18,False,False,False,,16,16,18,0,0.99,0.0
19,False,False,False,,16,16,19,0,0.99,0.0
20,False,False,False,,16,16,20,0,0.99,0.0
21,False,False,False,,16,16,21,0,0.99,0.0
22,False,False,False,,16,16,22,0,0.99,0.0
23,False,False,False,,16,16,23,0,0.99,0.0
24,False,False,False,,16,16,24,0,0.99,0.0
