step,physical_available,retrieval_available,behavioral_available,target_rank,occupancy,capacity,accepted_writes,rejected_writes,alert_score,benign_utility
0,True,True,True,1,5,16,0,0,0.09875,1.0
1,True,True,True,2,6,16,1,0,0.215,1.0
2,True,True,True,3,7,16,2,0,0.40875,1.0
3,True,True,True,4,8,16,3,0,0.6799999999999999,1.0
4,True,False,False,5,9,16,4,0,0.99,1.0
5,True,False,False,6,10,16,5,0,0.99,1.0
6,True,False,False,7,11,16,6,0,0.99,1.0
7,True,False,False,8,12,16,7,0,0.99,1.0
8,True,False,False,9,13,16,8,0,0.99,1.0
9,True,False,False,10,14,16,9,0,0.99,1.0
10,True,False,False,11,15,16,10,0,0.99,1.0
11,True,False,False,12,16,16,11,0,0.99,1.0
12,True,False,False,13,16,16,12,0,0.99,0.0
13,True,False,False,14,16,16,13,0,0.99,0.0
14,True,False,False,15,16,16,14,0,0.99,0.0
15,True,False,False,16,16,16,15,0,0.99,0.0
16,True,False,False,16,16,16,16,0,0.99,0.0
17,True,False,False,16,16,16,17,0,0.99,0.0
18,True,False,False,16,16,16,18,0,0.99,0.0
19,True,False,False,16,16,16,19,0,0.99,0.0
20,True,False,False,16,16,16,20,0,0.99,0.0
21,True,False,False,16,16,16,21,0,0.99,0.0
22,True,False,False,16,16,16,22,0,0.99,0.0
23,True,False,False,16,16,16,23,0,0.99,0.0
24,True,False,False,16,16,16,24,0,0.99,0.0
